PDI-Me-COOH,,PDI-OMe-COOH,,PDI-H-COOH,
wavelength,absorbance,wavelength,absorbance,wavelength,absorbance
649,0.4943,649,0.532,649,0.4314
648,0.4948,648,0.5343,648,0.4348
647,0.4952,647,0.5363,647,0.4383
646,0.4957,646,0.5379,646,0.4417
645,0.4962,645,0.5399,645,0.4451
644,0.4967,644,0.5415,644,0.4485
643,0.4971,643,0.5431,643,0.4518
642,0.4975,642,0.5449,642,0.4551
641,0.4978,641,0.5465,641,0.4584
640,0.4982,640,0.5479,640,0.4616
639,0.4985,639,0.5497,639,0.4647
638,0.4989,638,0.5516,638,0.4679
637,0.4993,637,0.553,637,0.4709
636,0.4997,636,0.5543,636,0.4739
635,0.5002,635,0.5555,635,0.4768
634,0.5007,634,0.5576,634,0.4797
633,0.5012,633,0.5587,633,0.4825
632,0.5017,632,0.5597,632,0.4853
631,0.5023,631,0.5613,631,0.488
630,0.5027,630,0.5626,630,0.4907
629,0.5033,629,0.5638,629,0.4932
628,0.5038,628,0.565,628,0.4958
627,0.5044,627,0.5664,627,0.4983
626,0.505,626,0.5673,626,0.5007
625,0.5056,625,0.5692,625,0.5031
624,0.5062,624,0.5701,624,0.5054
623,0.5068,623,0.5709,623,0.5077
622,0.5074,622,0.572,622,0.5099
621,0.5079,621,0.5736,621,0.5121
620,0.5086,620,0.5744,620,0.5143
619,0.5092,619,0.5756,619,0.5164
618,0.5099,618,0.577,618,0.5185
617,0.5108,617,0.5774,617,0.5205
616,0.5117,616,0.5785,616,0.5225
615,0.5126,615,0.58,615,0.5246
614,0.5137,614,0.5809,614,0.5266
613,0.5148,613,0.5819,613,0.5285
612,0.5159,612,0.5831,612,0.5306
611,0.5171,611,0.5842,611,0.5326
610,0.5185,610,0.5849,610,0.5346
609,0.52,609,0.5864,609,0.5367
608,0.5216,608,0.5872,608,0.5389
607,0.5234,607,0.5886,607,0.5411
606,0.5253,606,0.5897,606,0.5434
605,0.5273,605,0.5907,605,0.5458
604,0.5295,604,0.5923,604,0.5483
603,0.5318,603,0.5938,603,0.5509
602,0.5342,602,0.5954,602,0.5536
601,0.5367,601,0.5969,601,0.5565
600,0.5395,600,0.5984,600,0.5595
599,0.5424,599,0.6006,599,0.5626
598,0.5456,598,0.6028,598,0.5659
597,0.549,597,0.605,597,0.5694
596,0.5526,596,0.6077,596,0.5731
595,0.5564,595,0.6101,595,0.577
594,0.5602,594,0.6132,594,0.5812
593,0.5645,593,0.6158,593,0.5857
592,0.569,592,0.6193,592,0.5904
591,0.5738,591,0.6235,591,0.5955
590,0.5789,590,0.6271,590,0.6009
589,0.5844,589,0.6323,589,0.6066
588,0.59,588,0.637,588,0.6127
587,0.596,587,0.6421,587,0.6191
586,0.6023,586,0.648,586,0.6258
585,0.6088,585,0.6547,585,0.6328
584,0.6156,584,0.6612,584,0.6401
583,0.6225,583,0.6678,583,0.6475
582,0.6295,582,0.6755,582,0.6552
581,0.6366,581,0.6831,581,0.6629
580,0.6438,580,0.6912,580,0.6707
579,0.651,579,0.6989,579,0.6785
578,0.6583,578,0.7064,578,0.6861
577,0.6654,577,0.7149,577,0.6936
576,0.6725,576,0.7228,576,0.7009
575,0.6793,575,0.7299,575,0.7078
574,0.686,574,0.7376,574,0.7145
