PDI-H-COOH,,PDI-Me-COOH,PDI-OMe-COOH
Angle,Intensity,Angle,Intensity,Angle,Intensity
8.5,38,8.5,32,8.5,32
8.52,33,8.52,48,8.52,33
8.54,30,8.54,34,8.54,29
8.56,31,8.56,39,8.56,31
8.58,33,8.58,36,8.58,33
8.6,35,8.6,28,8.6,45
8.62,31,8.62,43,8.62,38
8.64,34,8.64,34,8.64,43
8.66,41,8.66,38,8.66,21
8.68,45,8.68,38,8.68,32
8.7,50,8.7,29,8.7,39
8.72,31,8.72,35,8.72,42
8.74,39,8.74,36,8.74,37
8.76,29,8.76,43,8.76,29
8.78,34,8.78,46,8.78,40
8.8,29,8.8,40,8.8,36
8.82,33,8.82,38,8.82,29
8.84,52,8.84,38,8.84,27
8.86,49,8.86,29,8.86,48
8.88,38,8.88,43,8.88,30
8.9,38,8.9,37,8.9,39
8.92,44,8.92,40,8.92,43
8.94,27,8.94,41,8.94,31
8.96,44,8.96,41,8.96,28
8.98,34,8.98,54,8.98,41
9,32,9,45,9,47
9.02,40,9.02,42,9.02,39
9.04,38,9.04,43,9.04,36
9.06,41,9.06,48,9.06,26
9.08,46,9.08,44,9.08,43
9.1,43,9.1,43,9.1,43
9.12,54,9.12,53,9.12,28
9.14,54,9.14,48,9.14,22
9.16,40,9.16,52,9.16,39
9.18,57,9.18,51,9.18,44
9.2,53,9.2,57,9.2,39
9.22,54,9.22,65,9.22,35
9.24,51,9.24,67,9.24,31
9.26,58,9.26,51,9.26,37
9.28,61,9.28,67,9.28,25
9.3,73,9.3,48,9.3,39
9.32,63,9.32,62,9.32,22
9.34,75,9.34,74,9.34,42
9.36,78,9.36,57,9.36,32
9.38,72,9.38,48,9.38,26
9.4,94,9.4,55,9.4,42
9.42,80,9.42,57,9.42,36
9.44,108,9.44,58,9.44,31
9.46,94,9.46,62,9.46,33
9.48,111,9.48,63,9.48,32
9.5,153,9.5,46,9.5,46
9.52,150,9.52,38,9.52,31
9.54,172,9.54,57,9.54,37
9.56,173,9.56,57,9.56,33
9.58,192,9.58,56,9.58,36
9.6,148,9.6,61,9.6,43
9.62,118,9.62,59,9.62,30
9.64,92,9.64,56,9.64,34
9.66,66,9.66,53,9.66,46
9.68,45,9.68,59,9.68,31
9.7,55,9.7,80,9.7,43
9.72,33,9.72,71,9.72,35
9.74,31,9.74,64,9.74,44
9.76,47,9.76,76,9.76,26
9.78,42,9.78,82,9.78,32
9.8,52,9.8,69,9.8,43
9.82,37,9.82,68,9.82,38
9.84,45,9.84,75,9.84,37
9.86,58,9.86,78,9.86,42
9.88,43,9.88,83,9.88,35
9.9,52,9.9,87,9.9,42
9.92,44,9.92,88,9.92,36
9.94,46,9.94,82,9.94,42
9.96,45,9.96,86,9.96,46
9.98,42,9.98,76,9.98,33
10,64,10,80,10,35
10.02,57,10.02,91,10.02,43
10.04,53,10.04,89,10.04,41
10.06,55,10.06,88,10.06,34
10.08,61,10.08,112,10.08,28
10.1,62,10.1,98,10.1,40
10.12,49,10.12,102,10.12,67
10.14,54,10.14,99,10.14,40
10.16,42,10.16,111,10.16,40
10.18,46,10.18,115,10.18,50
10.2,41,10.2,105,10.2,64
10.22,46,10.22,131,10.22,45
10.24,46,10.24,110,10.24,48
10.26,41,10.26,113,10.26,57
10.28,37,10.28,106,10.28,54
10.3,36,10.3,99,10.3,51
10.32,39,10.32,94,10.32,50
10.34,38,10.34,102,10.34,59
10.36,53,10.36,98,10.36,62
10.38,50,10.38,83,10.38,61
10.4,49,10.4,73,10.4,73
10.42,56,10.42,73,10.42,58
10.44,50,10.44,66,10.44,74
10.46,53,10.46,69,10.46,64
10.48,74,10.48,71,10.48,46
10.5,69,10.5,61,10.5,50
10.52,43,10.52,58,10.52,60
10.54,46,10.54,67,10.54,55
10.56,55,10.56,59,10.56,73
10.58,40,10.58,62,10.58,59
10.6,39,10.6,50,10.6,69
10.62,30,10.62,35,10.62,66
10.64,36,10.64,48,10.64,71
10.66,26,10.66,41,10.66,42
10.68,36,10.68,42,10.68,44
10.7,42,10.7,31,10.7,50
10.72,37,10.72,39,10.72,58
10.74,36,10.74,30,10.74,63
10.76,30,10.76,43,10.76,53
10.78,35,10.78,35,10.78,59
10.8,31,10.8,37,10.8,61
10.82,43,10.82,41,10.82,53
10.84,35,10.84,34,10.84,68
10.86,33,10.86,35,10.86,53
10.88,40,10.88,29,10.88,66
10.9,47,10.9,31,10.9,55
10.92,34,10.92,33,10.92,64
10.94,28,10.94,29,10.94,50
10.96,35,10.96,34,10.96,61
10.98,36,10.98,44,10.98,57
11,33,11,32,11,26
11.02,40,11.02,29,11.02,55
11.04,38,11.04,32,11.04,44
11.06,37,11.06,25,11.06,31
11.08,48,11.08,29,11.08,50
11.1,36,11.1,27,11.1,37
11.12,32,11.12,25,11.12,49
11.14,36,11.14,24,11.14,42
11.16,38,11.16,32,11.16,52
11.18,49,11.18,36,11.18,53
11.2,27,11.2,26,11.2,60
11.22,49,11.22,36,11.22,54
11.24,40,11.24,26,11.24,60
11.26,45,11.26,33,11.26,57
11.28,36,11.28,39,11.28,72
11.3,60,11.3,36,11.3,67
11.32,47,11.32,41,11.32,64
11.34,57,11.34,32,11.34,78
11.36,62,11.36,23,11.36,59
11.38,78,11.38,23,11.38,65
11.4,73,11.4,37,11.4,73
11.42,93,11.42,36,11.42,64
11.44,87,11.44,29,11.44,76
11.46,98,11.46,27,11.46,62
11.48,92,11.48,38,11.48,66
11.5,76,11.5,41,11.5,42
11.52,87,11.52,29,11.52,66
11.54,86,11.54,34,11.54,50
11.56,69,11.56,29,11.56,59
11.58,59,11.58,32,11.58,48
11.6,58,11.6,31,11.6,66
11.62,44,11.62,42,11.62,44
11.64,37,11.64,49,11.64,56
11.66,47,11.66,36,11.66,59
11.68,38,11.68,36,11.68,66
11.7,42,11.7,34,11.7,55
11.72,44,11.72,36,11.72,60
11.74,48,11.74,44,11.74,75
11.76,58,11.76,47,11.76,75
11.78,44,11.78,41,11.78,73
11.8,25,11.8,49,11.8,78
11.82,48,11.82,44,11.82,103
11.84,28,11.84,59,11.84,75
11.86,44,11.86,57,11.86,98
11.88,40,11.88,57,11.88,97
11.9,42,11.9,52,11.9,107
11.92,42,11.92,54,11.92,106
11.94,45,11.94,52,11.94,127
11.96,39,11.96,68,11.96,131
11.98,28,11.98,62,11.98,150
12,36,12,68,12,129
12.02,37,12.02,96,12.02,180
12.04,30,12.04,62,12.04,184
12.06,36,12.06,73,12.06,192
12.08,46,12.08,82,12.08,212
12.1,41,12.1,87,12.1,224
12.12,49,12.12,76,12.12,240
12.14,40,12.14,79,12.14,273
12.16,62,12.16,80,12.16,264
