PDI-H-COOH,,PDI-Me-COOH,,PDI-OMe-COOH
Wavenumber,intensity,Wavenumber,intensity,Wavenumber,intensity
575.6473,63.61675,575.6473,60.01437,575.6473,74.90495
576.1295,63.67638,576.1295,60.44743,576.1295,74.98077
576.6116,63.61353,576.6116,60.88307,576.6116,75.07508
577.0937,63.44585,577.0937,61.28154,577.0937,75.18562
577.5758,63.21594,577.5758,61.60623,577.5758,75.30866
578.0579,62.97228,578.0579,61.82859,578.0579,75.43954
578.54,62.74454,578.54,61.93081,578.54,75.57356
579.0222,62.54855,579.0222,61.92079,579.0222,75.7067
579.5043,62.40235,579.5043,61.83299,579.5043,75.83654
579.9864,62.35038,579.9864,61.72802,579.9864,75.96309
580.4685,62.45637,580.4685,61.66775,580.4685,76.08878
580.9506,62.79175,580.9506,61.70641,580.9506,76.21738
581.4327,63.40321,581.4327,61.87297,581.4327,76.3521
581.9149,64.2922,581.9149,62.1614,581.9149,76.49339
582.397,65.39855,582.397,62.52751,582.397,76.63789
582.8791,66.60757,582.8791,62.89865,582.8791,76.77859
583.3612,67.77882,583.3612,63.19624,583.3612,76.90681
583.8433,68.78836,583.8433,63.35717,583.8433,77.01477
584.3254,69.57659,584.3254,63.35992,584.3254,77.09846
584.8076,70.16035,584.8076,63.22922,584.8076,77.15858
585.2897,70.61054,585.2897,63.0194,585.2897,77.20023
585.7718,71.01061,585.7718,62.79384,585.7718,77.23044
586.2539,71.41299,586.2539,62.59896,586.2539,77.25573
586.736,71.8164,586.736,62.45307,586.736,77.28006
587.2181,71.84592,587.2181,62.24448,587.2181,77.31399
587.7003,71.80397,587.7003,62.01781,587.7003,77.34573
588.1824,71.69722,588.1824,61.76523,588.1824,77.36964
588.6645,71.531,588.6645,61.47903,588.6645,77.38203
589.1466,71.31209,589.1466,61.15375,589.1466,77.38351
589.6287,71.05187,589.6287,60.78836,589.6287,77.37913
590.1108,70.76863,590.1108,60.38792,590.1108,77.37772
590.593,70.48839,590.593,59.96498,590.593,77.39012
591.0751,70.24216,591.0751,59.53987,591.0751,77.42703
591.5572,70.05972,591.5572,59.13924,591.5572,77.49693
592.0393,69.96107,592.0393,58.79233,592.0393,77.60424
592.5214,69.95001,592.5214,58.52618,592.5214,77.74827
593.0035,70.01286,593.0035,58.36197,593.0035,77.92307
593.4857,70.12234,593.4857,58.31384,593.4857,78.11839
593.9678,70.24464,593.9678,58.38914,593.9678,78.32159
594.4499,70.34625,594.4499,58.5888,594.4499,78.51956
594.932,70.39942,594.932,58.90605,594.932,78.70099
595.4141,70.38529,595.4141,59.32546,595.4141,78.8582
595.8962,70.29469,595.8962,59.82256,595.8962,78.98833
596.3784,70.1266,596.3784,60.36617,596.3784,79.093
596.8605,69.88523,596.8605,60.92262,596.8605,79.1768
597.3426,69.57717,597.3426,61.46102,597.3426,79.24486
597.8247,69.20947,597.8247,61.9572,597.8247,79.30106
598.3068,68.78941,598.3068,62.39576,598.3068,79.34711
598.7889,68.325,598.7889,62.76994,598.7889,79.38306
599.2711,67.82507,599.2711,63.08032,599.2711,79.40863
599.7532,67.29842,599.7532,63.33229,599.7532,79.42446
600.2353,66.75223,600.2353,63.53352,600.2353,79.4324
600.7174,66.19105,600.7174,63.6916,600.7174,79.43522
601.1995,65.61768,601.1995,63.81264,601.1995,79.43525
601.6816,65.03618,601.6816,63.90088,601.6816,79.43378
602.1638,64.45581,602.1638,63.95916,602.1638,79.43105
602.6459,63.89495,602.6459,63.98963,602.6459,79.42711
603.128,63.38186,603.128,63.99452,603.128,79.42304
603.6101,62.95293,603.6101,63.9762,603.6101,79.42171
604.0922,62.64715,604.0922,63.93707,604.0922,79.42712
604.5743,62.49931,604.5743,63.87901,604.5743,79.4432
605.0565,62.5328,605.0565,63.80319,605.0565,79.4716
605.5386,62.75437,605.5386,63.71015,605.5386,79.51059
606.0207,63.15142,606.0207,63.60004,606.0207,79.55468
606.5028,63.69314,606.5028,63.47301,606.5028,79.59599
606.9849,64.33527,606.9849,63.3295,606.9849,79.6266
607.467,65.0275,607.467,63.16999,607.467,79.64072
607.9492,65.72158,607.9492,62.99504,607.9492,79.63623
608.4313,66.37763,608.4313,62.80509,608.4313,79.61469
608.9134,66.96754,608.9134,62.60074,608.9134,79.58039
609.3955,67.47473,609.3955,62.38284,609.3955,79.53885
609.8776,67.89174,609.8776,62.15245,609.8776,79.49543
610.3597,68.21674,610.3597,61.91025,610.3597,79.45462
610.8419,68.45082,610.8419,61.65558,610.8419,79.41958
611.324,68.59667,611.324,61.38569,611.324,79.39226
611.8061,68.65918,611.8061,61.09576,611.8061,79.37346
612.2882,68.64709,612.2882,60.78009,612.2882,79.36292
612.7703,68.57498,612.7703,60.43436,612.7703,79.35964
613.2524,68.46391,613.2524,60.05778,613.2524,79.36239
613.7346,68.33984,613.7346,59.65424,613.7346,79.37003
614.2167,68.22987,614.2167,59.23148,614.2167,79.38203
614.6988,68.15705,614.6988,58.79896,614.6988,79.39795
615.1809,68.13552,615.1809,58.36539,615.1809,79.41668
615.663,68.16763,615.663,57.93756,615.663,79.43508
616.1451,68.24375,616.1451,57.52123,616.1451,79.44649
616.6273,68.34554,616.6273,57.12439,616.6273,79.44038
617.1094,68.45124,617.1094,56.76109,617.1094,79.40386
