PDI-H-COOH,,PDI-Me-COOH,,PDI-OMe-COOH
Wavenumber,intensity,Wavenumber,intensity,Wavenumber,intensity
1302.197,51.38165,1302.197,40.63997,1302.197,63.3293
1302.679,51.91093,1302.679,41.12755,1302.679,62.8961
1303.162,52.51295,1303.162,41.64548,1303.162,62.46072
1303.644,53.17035,1303.644,42.18164,1303.644,62.03189
1304.126,53.86507,1304.126,42.72457,1304.126,61.62065
1304.608,54.57839,1304.608,43.26297,1304.608,61.23888
1305.09,55.29118,1305.09,43.78525,1305.09,60.89725
1305.572,55.9846,1305.572,44.27956,1305.572,60.603
1306.054,56.64164,1306.054,44.73438,1306.054,60.35923
1306.536,57.24842,1306.536,45.13958,1306.536,60.16585
1307.019,57.79493,1307.019,45.4872,1307.019,60.02132
1307.501,58.27497,1307.501,45.77177,1307.501,59.92423
1307.983,58.68524,1307.983,45.99026,1307.983,59.87338
1308.465,59.02425,1308.465,46.14163,1308.465,59.86664
1308.947,59.29133,1308.947,46.22666,1308.947,59.89919
1309.429,59.4861,1309.429,46.24788,1309.429,59.96281
1309.911,59.60839,1309.911,46.21023,1309.911,60.04684
1310.393,59.65863,1310.393,46.12206,1310.393,60.14053
1310.875,59.63901,1310.875,45.99663,1310.875,60.23611
1311.358,59.55482,1311.358,45.85343,1311.358,60.33113
1311.84,59.41609,1311.84,45.71839,1311.84,60.42947
1312.322,59.2387,1312.322,45.62245,1312.322,60.54056
1312.804,59.0445,1312.804,45.59813,1312.804,60.67727
1313.286,58.85996,1313.286,45.67511,1313.286,60.85335
1313.768,58.71366,1313.768,45.87668,1313.768,61.08149
1314.25,58.63369,1314.25,46.21843,1314.25,61.37275
1314.732,58.64589,1314.732,46.70904,1314.732,61.73706
1315.214,58.77243,1315.214,47.35187,1315.214,62.18356
1315.697,59.03074,1315.697,48.14576,1315.697,62.72031
1316.179,59.43191,1316.179,49.08462,1316.179,63.35268
1316.661,59.97861,1316.661,50.15631,1316.661,64.0815
1317.143,60.66359,1317.143,51.3419,1317.143,64.90153
1317.625,61.46901,1317.625,52.61596,1317.625,65.80097
1318.107,62.36733,1318.107,53.94797,1318.107,66.7625
1318.589,63.3237,1318.589,55.30442,1318.589,67.76477
1319.071,64.29938,1319.071,56.65157,1319.071,68.78461
1319.553,65.256,1319.553,57.95832,1319.553,69.79912
1320.036,66.15989,1320.036,59.19948,1320.036,70.78786
1320.518,66.98602,1320.518,60.35835,1320.518,71.73493
1321,67.7198,1321,61.42762,1321,72.63015
1321.482,68.35696,1321.482,62.40818,1321.482,73.46922
1321.964,68.90125,1321.964,63.30566,1321.964,74.25256
1322.446,69.3614,1322.446,64.12653,1322.446,74.98322
1322.928,69.7484,1322.928,64.87487,1322.928,75.66477
1323.41,70.07336,1323.41,65.55122,1323.41,76.3
1323.893,70.3466,1323.893,66.15367,1323.893,76.89052
1324.375,70.57728,1324.375,66.68049,1324.375,77.43755
1324.857,70.77319,1324.857,67.1328,1324.857,77.94309
1325.339,70.94069,1325.339,67.51569,1325.339,78.41035
1325.821,71.0844,1325.821,67.83703,1325.821,78.84361
1326.303,71.20717,1326.303,68.10535,1326.303,79.24707
1326.785,71.31008,1326.785,68.32745,1326.785,79.62372
1327.267,71.39322,1327.267,68.50789,1327.267,79.97472
1327.75,71.45631,1327.75,68.64971,1327.75,80.29983
1328.232,71.49962,1328.232,68.75626,1328.232,80.59834
1328.714,71.52409,1328.714,68.83225,1328.714,80.87016
1329.196,71.5312,1329.196,68.88356,1329.196,81.11631
1329.678,71.52216,1329.678,68.91557,1329.678,81.33833
1330.16,71.49741,1330.16,68.93107,1330.16,81.53726
1330.642,71.45643,1330.642,68.92921,1330.642,81.71301
1331.124,71.39809,1331.124,68.90601,1331.124,81.86414
1331.606,71.32147,1331.606,68.85645,1331.606,81.98876
1332.089,71.22626,1332.089,68.77679,1332.089,82.08556
1332.571,71.11269,1332.571,68.66588,1332.571,82.15443
1333.053,70.9809,1333.053,68.52451,1333.053,82.19605
1333.535,70.83019,1333.535,68.3535,1333.535,82.21086
1334.017,70.65888,1334.017,68.15159,1334.017,82.19784
1334.499,70.46458,1334.499,67.9147,1334.499,82.15411
1334.981,70.24548,1334.981,67.63699,1334.981,82.07567
1335.463,70.00138,1335.463,67.31316,1335.463,81.95886
1335.946,69.73412,1335.946,66.94079,1335.946,81.80173
1336.428,69.44704,1336.428,66.52111,1336.428,81.60442
1336.91,69.14353,1336.91,66.05808,1336.91,81.36868
1337.392,68.82603,1337.392,65.55659,1337.392,81.09666
1337.874,68.49609,1337.874,65.02165,1337.874,80.79105
1338.356,68.1561,1338.356,64.46031,1338.356,80.45683
1338.838,67.81251,1338.838,63.88587,1338.838,80.10493
1339.32,67.47765,1339.32,63.3217,1339.32,79.75507
1339.802,67.16875,1339.802,62.80043,1339.802,79.43443
1340.285,66.9028,1340.285,62.35651,1340.285,79.17114
1340.767,66.69148,1340.767,62.01641,1340.767,78.9858
1341.249,66.5386,1341.249,61.79264,1341.249,78.88663
1341.731,66.44207,1341.731,61.68453,1341.731,78.87035
1342.213,66.39742,1342.213,61.68313,1342.213,78.92672
1342.695,66.40085,1342.695,61.77608,1342.695,79.04313
1343.177,66.45036,1343.177,61.95015,1343.177,79.20757
1343.659,66.5452,1343.659,62.19143,1343.659,79.4095
1344.141,66.6843,1344.141,62.4846,1344.141,79.63976
1344.624,66.86468,1344.624,62.81224,1344.624,79.88953
1345.106,67.08035,1345.106,63.15526,1345.106,80.14969
1345.588,67.32247,1345.588,63.49412,1345.588,80.41042
1346.07,67.57977,1346.07,63.81087,1346.07,80.66117
1346.552,67.8395,1346.552,64.09049,1346.552,80.89148
1347.034,68.08818,1347.034,64.32179,1347.034,81.09187
1347.516,68.31209,1347.516,64.49751,1347.516,81.25496
1347.999,68.49802,1347.999,64.61367,1347.999,81.37619
1348.481,68.6344,1348.481,64.66853,1348.481,81.45404
1348.963,68.71243,1348.963,64.66145,1348.963,81.48934
1349.445,68.72734,1349.445,64.59193,1349.445,81.48424
1349.927,68.67901,1349.927,64.45976,1349.927,81.44126
1350.409,68.57159,1350.409,64.26568,1350.409,81.36303
1350.891,68.41241,1350.891,64.01235,1350.891,81.25234
1351.373,68.21012,1351.373,63.70484,1351.373,81.11256
1351.855,67.97262,1351.855,63.34975,1351.855,80.94756
1352.338,67.7056,1352.338,62.95365,1352.338,80.76108
1352.82,67.41196,1352.82,62.52114,1352.82,80.55582
1353.302,67.09259,1353.302,62.05404,1353.302,80.33301
1353.784,66.74781,1353.784,61.55199,1353.784,80.09248
1354.266,66.37894,1354.266,61.01446,1354.266,79.83385
1354.748,65.98934,1354.748,60.44299,1354.748,79.55783
1355.23,65.58366,1355.23,59.84212,1355.23,79.26723
1355.712,65.16638,1355.712,59.21851,1355.712,78.96651
1356.194,64.73997,1356.194,58.57856,1356.194,78.66041
1356.677,64.30431,1356.677,57.92619,1356.677,78.35239
1357.159,63.85764,1357.159,57.26243,1357.159,78.04379
1357.641,63.39877,1357.641,56.58688,1357.641,77.73405
1358.123,62.92884,1358.123,55.89997,1358.123,77.42193
1358.605,62.45179,1358.605,55.20448,1358.605,77.10637
1359.087,61.9726,1359.087,54.50504,1359.087,76.78656
1359.569,61.49426,1359.569,53.80565,1359.569,76.46077
1360.051,61.0146,1360.051,53.10628,1360.051,76.12469
1360.533,60.52458,1360.533,52.4007,1360.533,75.77011
1361.016,60.00955,1361.016,51.67712,1361.016,75.38546
1361.498,59.45417,1361.498,50.92301,1361.498,74.95947
1361.98,58.85012,1361.98,50.13285,1361.98,74.48746
1362.462,58.2031,1362.462,49.31535,1362.462,73.97765
1362.944,57.53354,1362.944,48.49383,1362.944,73.45199
1363.426,56.86781,1363.426,47.69674,1363.426,72.93798
1363.908,56.2258,1363.908,46.94457,1363.908,72.45618
1364.39,55.61395,1364.39,46.24295,1364.39,72.01204
1364.873,55.02707,1364.873,45.58548,1364.873,71.5966
1365.355,54.45502,1365.355,44.96136,1365.355,71.1925
1365.837,53.88871,1365.837,44.36199,1365.837,70.78047
1366.319,53.32311,1366.319,43.7835,1366.319,70.3438
1366.801,52.75736,1366.801,43.22559,1366.801,69.87091
1367.283,52.19339,1367.283,42.6879,1367.283,69.35676
1367.765,51.63456,1367.765,42.16625,1367.765,68.8035
1368.247,51.0854,1368.247,41.65138,1368.247,68.2205
1368.729,50.55246,1368.729,41.13163,1368.729,67.62306
1369.212,50.04538,1369.212,40.59835,1369.212,67.02979
1369.694,49.57614,1369.694,40.05034,1369.694,66.45896
1370.176,49.15588,1370.176,39.494,1370.176,65.92459
1370.658,48.79024,1370.658,38.93899,1370.658,65.43309
1371.14,48.47515,1371.14,38.39235,1371.14,64.98129
1371.622,48.19482,1371.622,37.8543,1371.622,64.55615
1372.104,47.92264,1372.104,37.3181,1372.104,64.13666
1372.586,47.6254,1372.586,36.77408,1372.586,63.69824
1373.069,47.27119,1373.069,36.21704,1373.069,63.21998
1373.551,46.84005,1373.551,35.65351,1373.551,62.69379
1374.033,46.33334,1374.033,35.10348,1374.033,62.13061
1374.515,45.77411,1374.515,34.59179,1374.515,61.55707
1374.997,45.19509,1374.997,34.13322,1374.997,61.00105
1375.479,44.62202,1375.479,33.72276,1375.479,60.47535
1375.961,44.06548,1375.961,33.33924,1375.961,59.97189
1376.443,43.52516,1376.443,32.95808,1376.443,59.46827
1376.926,43.00039,1376.926,32.56355,1376.926,58.93995
1377.408,42.49832,1377.408,32.1548,1377.408,58.37058
1377.89,42.03578,1377.89,31.74499,1377.89,57.75748
1378.372,41.63436,1378.372,31.35465,1378.372,57.11167
1378.854,41.31156,1378.854,31.00227,1378.854,56.45248
1379.336,41.0737,1379.336,30.69696,1379.336,55.79943
1379.818,40.91599,1379.818,30.43789,1379.818,55.16568
1380.3,40.83015,1380.3,30.2214,1380.3,54.55746
1380.782,40.81479,1380.782,30.05083,1380.782,53.97916
1381.265,40.88087,1381.265,29.94215,1381.265,53.44016
1381.747,41.04837,1381.747,29.921,1381.747,52.95789
1382.229,41.33559,1382.229,30.01207,1382.229,52.55444
1382.711,41.7475,1382.711,30.22706,1382.711,52.24828
1383.193,42.27146,1383.193,30.55949,1383.193,52.047
1383.675,42.88469,1383.675,30.99164,1383.675,51.94681
1384.157,43.56993,1384.157,31.51053,1384.157,51.94025
1384.639,44.3308,1384.639,32.12461,1384.639,52.02824
1385.121,45.19859,1385.121,32.87215,1385.121,52.22983
1385.604,46.22521,1385.604,33.81529,1385.604,52.58363
1386.086,47.46075,1386.086,35.01667,1386.086,53.13726
1386.568,48.92097,1386.568,36.50279,1386.568,53.92468
1387.05,50.56211,1387.05,38.23319,1387.05,54.94221
1387.532,52.28645,1387.532,40.10373,1387.532,56.1423
1388.014,53.98282,1388.014,41.99096,1388.014,57.45447
1388.496,55.57347,1388.496,43.80616,1388.496,58.81879
1388.978,57.03273,1388.978,45.51871,1388.978,60.20507
1389.46,58.37292,1389.46,47.14162,1389.46,61.6081
1389.943,59.61773,1389.943,48.70152,1389.943,63.03048
1390.425,60.78279,1390.425,50.21537,1390.425,64.46719
1390.907,61.87061,1390.907,51.68315,1390.907,65.90048
1391.389,62.87696,1391.389,53.09398,1391.389,67.30438
1391.871,63.80204,1391.871,54.4389,1391.871,68.65453
1392.353,64.65941,1392.353,55.72232,1392.353,69.93681
1392.835,65.47755,1392.835,56.96558,1392.835,71.14977
1393.317,66.2916,1393.317,58.19818,1393.317,72.29813
1393.8,67.12662,1393.8,59.43681,1393.8,73.37888
1394.282,67.97906,1394.282,60.66088,1394.282,74.36852
1394.764,68.80993,1394.764,61.80602,1394.764,75.22478
1395.246,69.56065,1395.246,62.79083,1395.246,75.90778
1395.728,70.1836,1395.728,63.56107,1395.728,76.40434
1396.21,70.66364,1396.21,64.11407,1396.21,76.7335
1396.692,71.01619,1396.692,64.48924,1396.692,76.932
1397.174,71.26943,1397.174,64.74182,1397.174,77.03514
1397.656,71.44572,1397.656,64.92044,1397.656,77.06511
1398.139,71.55136,1398.139,65.05491,1398.139,77.0286
1398.621,71.57775,1398.621,65.15301,1398.621,76.92279
1399.103,71.51344,1399.103,65.20581,1399.103,76.74622
1399.585,71.35943,1399.585,65.19929,1399.585,76.50838
1400.067,71.13626,1400.067,65.12592,1400.067,76.23068
1400.549,70.87692,1400.549,64.98891,1400.549,75.93724
1401.031,70.61316,1401.031,64.79733,1401.031,75.64359
1401.513,70.3657,1401.513,64.55836,1401.513,75.35026
1401.996,70.14278,1401.996,64.27213,1401.996,75.04285
1402.478,69.94369,1402.478,63.93062,1402.478,74.69613
1402.96,69.76382,1402.96,63.52057,1402.96,74.28068
1403.442,69.59898,1403.442,63.02943,1403.442,73.77196
1403.924,69.44782,1403.924,62.45366,1403.924,73.16113
1404.406,69.3112,1404.406,61.8063,1404.406,72.4635
1404.888,69.18806,1404.888,61.11867,1404.888,71.71797
1405.37,69.07075,1405.37,60.43287,1405.37,70.97422
1405.853,68.94331,1405.853,59.78866,1405.853,70.27409
1406.335,68.78515,1406.335,59.21321,1406.335,69.63943
1406.817,68.57743,1406.817,58.7195,1406.817,69.07268
1407.299,68.30814,1407.299,58.31126,1407.299,68.56597
1407.781,67.97395,1407.781,57.98981,1407.781,68.11114
1408.263,67.57902,1408.263,57.75829,1408.263,67.7051
1408.745,67.13264,1408.745,57.62276,1408.745,67.35041
1409.227,66.64679,1409.227,57.59048,1409.227,67.05243
1409.709,66.13519,1409.709,57.66626,1409.709,66.81526
1410.192,65.61376,1410.192,57.84862,1410.192,66.63889
1410.674,65.10158,1410.674,58.12719,1410.674,66.51869
1411.156,64.6208,1411.156,58.48288,1411.156,66.4472
1411.638,64.19395,1411.638,58.89071,1411.638,66.41694
1412.12,63.83924,1412.12,59.32426,1412.12,66.42173
1412.602,63.56544,1412.602,59.75931,1412.602,66.45592
1413.084,63.36917,1413.084,60.17573,1413.084,66.5125
1413.566,63.23545,1413.566,60.55785,1413.566,66.58154
1414.048,63.14179,1414.048,60.8942,1414.048,66.65096
1414.531,63.06419,1414.531,61.17762,1414.531,66.70914
1415.013,62.98326,1415.013,61.40568,1415.013,66.74847
1415.495,62.88867,1415.495,61.58122,1415.495,66.76732
1415.977,62.78045,1415.977,61.71243,1415.977,66.76972
1416.459,62.66754,1416.459,61.81219,1416.459,66.76237
1416.941,62.564,1416.941,61.89679,1416.941,66.75016
1417.423,62.48502,1417.423,61.98336,1417.423,66.73288
1417.905,62.44334,1417.905,62.08527,1417.905,66.70553
1418.387,62.44815,1418.387,62.20504,1418.387,66.66512
1418.87,62.50589,1418.87,62.32891,1418.87,66.62092
1419.352,62.62156,1419.352,62.43055,1419.352,66.5983
1419.834,62.7985,1419.834,62.485,1419.834,66.62781
1420.316,63.0376,1420.316,62.48019,1420.316,66.7291
1420.798,63.33764,1420.798,62.41674,1420.798,66.90568
1421.28,63.69769,1421.28,62.30012,1421.28,67.1511
1421.762,64.12107,1421.762,62.13425,1421.762,67.45869
1422.244,64.61839,1422.244,61.91899,1422.244,67.82807
1422.727,65.20608,1422.727,61.65141,1422.727,68.26736
1423.209,65.8982,1423.209,61.32926,1423.209,68.79027
1423.691,66.69248,1423.691,60.9554,1423.691,69.40768
1424.173,67.55987,1424.173,60.54029,1424.173,70.11665
1424.655,68.44936,1424.655,60.09976,1424.655,70.89568
1425.137,69.30891,1425.137,59.64856,1425.137,71.71182
1425.619,70.10767,1425.619,59.1952,1425.619,72.53596
1426.101,70.84335,1426.101,58.74202,1426.101,73.35376
1426.583,71.53567,1426.583,58.28953,1426.583,74.16724
1427.066,72.21389,1427.066,57.84128,1427.066,74.98988
1427.548,72.90572,1427.548,57.40711,1427.548,75.839
1428.03,73.62818,1428.03,57.0036,1428.03,76.72823
1428.512,74.38168,1428.512,56.65121,1428.512,77.66073
1428.994,75.14943,1428.994,56.36907,1428.994,78.62534
1429.476,75.90366,1429.476,56.1701,1429.476,79.59821
1429.958,76.61633,1429.958,56.05959,1429.958,80.54978
1430.44,77.26828,1430.44,56.03801,1430.44,81.45345
1430.923,77.85185,1430.923,56.10434,1430.923,82.29091
1431.405,78.36716,1431.405,56.25589,1431.405,83.05273
1431.887,78.81697,1431.887,56.48512,1431.887,83.73651
1432.369,79.20389,1432.369,56.77698,1432.369,84.34523
1432.851,79.53084,1432.851,57.11057,1432.851,84.88638
1433.333,79.80402,1433.333,57.4652,1433.333,85.37073
1433.815,80.03601,1433.815,57.82838,1433.815,85.81049
1434.297,80.24765,1434.297,58.20248,1434.297,86.2167
1434.78,80.46634,1434.78,58.60767,1434.78,86.59603
1435.262,80.71883,1435.262,59.07771,1435.262,86.948
1435.744,81.01892,1435.744,59.64333,1435.744,87.26402
1436.226,81.35617,1436.226,60.30295,1436.226,87.53121
1436.708,81.69836,1436.708,61.00108,1436.708,87.74192
1437.19,82.01111,1437.19,61.64829,1437.19,87.90176
1437.672,82.27789,1437.672,62.17608,1437.672,88.02614
1438.154,82.50149,1438.154,62.57187,1438.154,88.12875
1438.636,82.69215,1438.636,62.86861,1438.636,88.21421
1439.119,82.85838,1439.119,63.1157,1439.119,88.279
1439.601,83.00593,1439.601,63.35811,1439.601,88.31628
1440.083,83.13988,1440.083,63.62764,1440.083,88.32058
1440.565,83.2662,1440.565,63.94109,1440.565,88.29048
1441.047,83.39108,1441.047,64.3018,1441.047,88.229
1441.529,83.51937,1441.529,64.70319,1441.529,88.14146
1442.011,83.65284,1442.011,65.13379,1442.011,88.03213
1442.493,83.78926,1442.493,65.58174,1442.493,87.90141
1442.975,83.92296,1442.975,66.03722,1442.975,87.74599
1443.458,84.04674,1443.458,66.49199,1443.458,87.56152
1443.94,84.15458,1443.94,66.93799,1443.94,87.34606
1444.422,84.24377,1444.422,67.36665,1444.422,87.10157
1444.904,84.31567,1444.904,67.77019,1444.904,86.83205
1445.386,84.37464,1445.386,68.1439,1445.386,86.53947
1445.868,84.42558,1445.868,68.48797,1445.868,86.2194
1446.35,84.47077,1446.35,68.80677,1446.35,85.86028
1446.832,84.50741,1446.832,69.10561,1446.832,85.44792
1447.314,84.52774,1447.314,69.3856,1447.314,84.97546
1447.797,84.52287,1447.797,69.64013,1447.797,84.45357
1448.279,84.48861,1448.279,69.85651,1448.279,83.91161
1448.761,84.42872,1448.761,70.02331,1448.761,83.38554
1449.243,84.35257,1449.243,70.1377,1449.243,82.89999
1449.725,84.26946,1449.725,70.20796,1449.725,82.45838
1450.207,84.18464,1450.207,70.25026,1450.207,82.04592
1450.689,84.09844,1450.689,70.28317,1450.689,81.64143
1451.171,84.00771,1451.171,70.32265,1451.171,81.22981
1451.654,83.90757,1451.654,70.3783,1451.654,80.81097
1452.136,83.79322,1452.136,70.45162,1452.136,80.40131
1452.618,83.66093,1452.618,70.53712,1452.618,80.02714
1453.1,83.50875,1453.1,70.62639,1453.1,79.71265
1453.582,83.33678,1453.582,70.71358,1453.582,79.46931
1454.064,83.14863,1454.064,70.80025,1454.064,79.29186
1454.546,82.95293,1454.546,70.89889,1454.546,79.16129
1455.028,82.76211,1455.028,71.03555,1455.028,79.0509
1455.51,82.5853,1455.51,71.2517,1455.51,78.93343
1455.993,82.41669,1455.993,71.59979,1455.993,78.78886
1456.475,82.23228,1456.475,72.1197,1456.475,78.61421
1456.957,82.01034,1456.957,72.79264,1456.957,78.42869
1457.439,81.75983,1457.439,73.51772,1457.439,78.26128
1457.921,81.51302,1457.921,74.17051,1457.921,78.1255
1458.403,81.29059,1458.403,74.68779,1458.403,78.01252
1458.885,81.09126,1458.885,75.07716,1458.885,77.90808
1459.367,80.90635,1459.367,75.37345,1459.367,77.80621
1459.85,80.73248,1459.85,75.60724,1459.85,77.70955
1460.332,80.57408,1460.332,75.79824,1460.332,77.6236
1460.814,80.44025,1460.814,75.95939,1460.814,77.55191
1461.296,80.34104,1461.296,76.10186,1461.296,77.49452
1461.778,80.28584,1461.778,76.23785,1461.778,77.44952
1462.26,80.28397,1462.26,76.38134,1462.26,77.4165
1462.742,80.34599,1462.742,76.54723,1462.742,77.40103
1463.224,80.48325,1463.224,76.74892,1463.224,77.41848
1463.707,80.70378,1463.707,76.99399,1463.707,77.49445
1464.189,81.00472,1464.189,77.27867,1464.189,77.65779
1464.671,81.36545,1464.671,77.5852,1464.671,77.92606
1465.153,81.74886,1465.153,77.88695,1465.153,78.29218
1465.635,82.11405,1465.635,78.16015,1465.635,78.72682
1466.117,82.43131,1466.117,78.39249,1466.117,79.1961
1466.599,82.6884,1466.599,78.58263,1466.599,79.67784
1467.081,82.88699,1467.081,78.73443,1467.081,80.16517
1467.563,83.03606,1467.563,78.85234,1467.563,80.65975
1468.046,83.14679,1468.046,78.94018,1468.046,81.16394
1468.528,83.23002,1468.528,79.00212,1468.528,81.67597
1469.01,83.29496,1469.01,79.0437,1469.01,82.19009
1469.492,83.34919,1469.492,79.07215,1469.492,82.69984
1469.974,83.39861,1469.974,79.09572,1469.974,83.20285
1470.456,83.44676,1470.456,79.12246,1470.456,83.70515
1470.938,83.49266,1470.938,79.15888,1470.938,84.22289
1471.42,83.52892,1471.42,79.20808,1471.42,84.77799
1471.902,83.54406,1471.902,79.26774,1471.902,85.38428
1472.385,83.53144,1472.385,79.32932,1472.385,86.0273
1472.867,83.49638,1472.867,79.38068,1472.867,86.65845
1473.349,83.45063,1473.349,79.41147,1473.349,87.22015
1473.831,83.39922,1473.831,79.41615,1473.831,87.68154
1474.313,83.33554,1474.313,79.39217,1474.313,88.04816
1474.795,83.24648,1474.795,79.33762,1474.795,88.34618
1475.277,83.12101,1475.277,79.25117,1475.277,88.60361
1475.759,82.95622,1475.759,79.13413,1475.759,88.83979
1476.241,82.75929,1476.241,78.99199,1476.241,89.06213
1476.724,82.54377,1476.724,78.8332,1476.724,89.26778
1477.206,82.32285,1477.206,78.6655,1477.206,89.44872
1477.688,82.10325,1477.688,78.49196,1477.688,89.59743
1478.17,81.88369,1478.17,78.30965,1478.17,89.71017
1478.652,81.65715,1478.652,78.11143,1478.652,89.78723
1479.134,81.4153,1479.134,77.8894,1479.134,89.83103
1479.616,81.1518,1479.616,77.63817,1479.616,89.84408
1480.098,80.86411,1480.098,77.35695,1480.098,89.82774
1480.581,80.55355,1480.581,77.05013,1480.581,89.78239
1481.063,80.2241,1481.063,76.72509,1481.063,89.7085
1481.545,79.88078,1481.545,76.38857,1481.545,89.60831
1482.027,79.52815,1482.027,76.04289,1482.027,89.48647
1482.509,79.17022,1482.509,75.68559,1482.509,89.34914
1482.991,78.81111,1482.991,75.31177,1482.991,89.20193
1483.473,78.45581,1483.473,74.91766,1483.473,89.0479
1483.955,78.11002,1483.955,74.50256,1483.955,88.88654
1484.438,77.77859,1484.438,74.06841,1484.438,88.71366
1484.92,77.46336,1484.92,73.61776,1484.92,88.52244
1485.402,77.1613,1485.402,73.15154,1485.402,88.30524
1485.884,76.86478,1485.884,72.66741,1485.884,88.05583
1486.366,76.56415,1486.366,72.16061,1486.366,87.77192
1486.848,76.25238,1486.848,71.6264,1486.848,87.45544
1487.33,75.92899,1487.33,71.06383,1487.33,87.11034
1487.812,75.60047,1487.812,70.47778,1487.812,86.73806
1488.294,75.2765,1488.294,69.87848,1488.294,86.33299
1488.777,74.96375,1488.777,69.27826,1488.777,85.88324
1489.259,74.66141,1489.259,68.68767,1489.259,85.37981
1489.741,74.36317,1489.741,68.11391,1489.741,84.83183
1490.223,74.06525,1490.223,67.56285,1490.223,84.27472
1490.705,73.77364,1490.705,67.04223,1490.705,83.75808
1491.187,73.50272,1491.187,66.56205,1491.187,83.32108
1491.669,73.26659,1491.669,66.1315,1491.669,82.97669
1492.151,73.07136,1492.151,65.75593,1492.151,82.71407
1492.634,72.91354,1492.634,65.43591,1492.634,82.50938
1493.116,72.78382,1493.116,65.16823,1493.116,82.33528
1493.598,72.67265,1493.598,64.94777,1493.598,82.16596
1494.08,72.57494,1494.08,64.77017,1494.08,81.97933
1494.562,72.4928,1494.562,64.63474,1494.562,81.75865
1495.044,72.43572,1495.044,64.54747,1495.044,81.49467
1495.526,72.4187,1495.526,64.52212,1495.526,81.18845
1496.008,72.45742,1496.008,64.57607,1496.008,80.85245
1496.49,72.56084,1496.49,64.72018,1496.49,80.50721
1496.973,72.72394,1496.973,64.94742,1496.973,80.17256
1497.455,72.92702,1497.455,65.23165,1497.455,79.85954
1497.937,73.14438,1497.937,65.53991,1497.937,79.56978
1498.419,73.35658,1498.419,65.84899,1498.419,79.30186
1498.901,73.55723,1498.901,66.15411,1498.901,79.05804
1499.383,73.75122,1499.383,66.46631,1499.383,78.84591
1499.865,73.94736,1499.865,66.80264,1499.865,78.67506
1500.347,74.15021,1500.347,67.17525,1500.347,78.55228
1500.829,74.35522,1500.829,67.5844,1500.829,78.47842
1501.312,74.54875,1501.312,68.01743,1501.312,78.44865
1501.794,74.71246,1501.794,68.45364,1501.794,78.45518
1502.276,74.82955,1502.276,68.87151,1502.276,78.49066
1502.758,74.89101,1502.758,69.25536,1502.758,78.55044
1503.24,74.90021,1503.24,69.59956,1503.24,78.63297
1503.722,74.87536,1503.722,69.91097,1503.722,78.73893
1504.204,74.84883,1504.204,70.21079,1504.204,78.86948
1504.686,74.8613,1504.686,70.53847,1504.686,79.02476
1505.168,74.94826,1505.168,70.9589,1505.168,79.20292
1505.651,75.11889,1505.651,71.56706,1505.651,79.40138
1506.133,75.34097,1506.133,72.4628,1506.133,79.62157
1506.615,75.56167,1506.615,73.64908,1506.615,79.87607
1507.097,75.76324,1507.097,74.9138,1507.097,80.18443
1507.579,75.97247,1507.579,75.94658,1507.579,80.55112
1508.061,76.20805,1508.061,76.62215,1508.061,80.95675
1508.543,76.46185,1508.543,77.02151,1508.543,81.3775
1509.025,76.71804,1509.025,77.2665,1509.025,81.80009
1509.508,76.96641,1509.508,77.4349,1509.508,82.22192
1509.99,77.20589,1509.99,77.56132,1509.99,82.64683
1510.472,77.44337,1510.472,77.65763,1510.472,83.08121
1510.954,77.68929,1510.954,77.72766,1510.954,83.53045
1511.436,77.95072,1511.436,77.77409,1511.436,83.99523
1511.918,78.22594,1511.918,77.79999,1511.918,84.46897
1512.4,78.50316,1512.4,77.8073,1512.4,84.93829
1512.882,78.76473,1512.882,77.79519,1512.882,85.38699
1513.365,78.99422,1513.365,77.76011,1513.365,85.80135
1513.847,79.18242,1513.847,77.69763,1513.847,86.17409
1514.329,79.32973,1514.329,77.60539,1514.329,86.50565
1514.811,79.44405,1514.811,77.48557,1514.811,86.80288
1515.293,79.53489,1515.293,77.34651,1515.293,87.07612
1515.775,79.60577,1515.775,77.20195,1515.775,87.33483
1516.257,79.64912,1516.257,77.06608,1516.257,87.58237
1516.739,79.64876,1516.739,76.9451,1516.739,87.8132
1517.221,79.59026,1517.221,76.83171,1517.221,88.01642
1517.704,79.4716,1517.704,76.71002,1517.704,88.18428
1518.186,79.30557,1518.186,76.5671,1518.186,88.3175
1518.668,79.11504,1518.668,76.4,1518.668,88.42308
1519.15,78.92676,1519.15,76.21503,1519.15,88.50836
1519.632,78.76556,1519.632,76.02345,1519.632,88.57633
1520.114,78.64615,1520.114,75.83676,1520.114,88.62344
1520.596,78.56393,1520.596,75.66154,1520.596,88.64077
1521.078,78.49503,1521.078,75.49401,1521.078,88.62197
1521.561,78.41466,1521.561,75.32028,1521.561,88.575
1522.043,78.3198,1522.043,75.12735,1522.043,88.52515
1522.525,78.22797,1522.525,74.91596,1522.525,88.49966
1523.007,78.1564,1523.007,74.69955,1523.007,88.5106
1523.489,78.10929,1523.489,74.49401,1523.489,88.55383
1523.971,78.08017,1523.971,74.31071,1523.971,88.61663
1524.453,78.05849,1524.453,74.15525,1524.453,88.68475
1524.935,78.03419,1524.935,74.02879,1524.935,88.74592
1525.417,77.9997,1525.417,73.92986,1525.417,88.79289
1525.9,77.95148,1525.9,73.85672,1525.9,88.82562
